DS,Trig_Num,Ht,YYYY-MM-DD,hh:mm:ss,Dr,Speed,Wb,Hdwy,Gap,Ax,Gp,Rh,Cl,Nm,Vehicle
1,000002bc,4,2023-11-5,13:13:18,N0,89.78,2.66,23.0,22.9,2,2,1.0,2,00000020,SV
1,000002c0,4,2023-11-5,13:13:20,N0,87.21,2.58,1.8,1.7,2,2,1.0,2,00000010,SV
1,000002c4,4,2023-11-5,13:13:38,N0,88.97,2.58,18.9,18.8,2,2,1.0,2,00000010,SV
1,000002c8,4,2023-11-5,13:14:15,N0,83.2,2.7,36.3,36.2,2,2,1.0,2,00000010,SV
1,000002cc,4,2023-11-5,13:14:29,N0,87.6,2.85,14.5,14.4,2,2,1.0,2,00000010,SV
1,000002d0,4,2023-11-5,13:14:56,N0,71.98,3.0,26.7,26.6,2,2,1.0,2,00000020,SV
1,000002d4,4,2023-11-5,13:14:57,N0,68.38,2.62,1.0,0.9,2,2,1.0,2,00000010,SV
1,000002d8,4,2023-11-5,13:15:10,N0,20.08,2.86,13.2,13.0,2,2,1.0,2,00000010,SV
1,000002dc,8,2023-11-5,13:15:30,N0,81.29,6.48,19.5,19.0,4,2,1.0,6,00000020,T4
1,000002e4,4,2023-11-5,13:15:31,N0,78.61,3.01,1.1,0.8,2,2,1.0,2,00000020,SV
1,000002e8,4,2023-11-5,13:15:33,N0,76.59,2.18,1.9,1.8,2,2,1.0,2,00000010,SV
1,000002ec,12,2023-11-5,13:16:01,N0,84.44,13.88,28.6,28.5,6,3,1.0,10,00000020,ART6
1,000002f8,4,2023-11-5,13:16:03,N0,78.95,2.67,1.9,1.3,2,2,1.0,2,00000020,SV
1,000002fc,4,2023-11-5,13:16:05,N0,69.94,3.16,1.4,1.3,2,2,1.0,2,00000010,SV
1,00000300,4,2023-11-5,13:16:10,N0,80.04,2.45,5.5,5.4,2,2,1.0,2,00000010,SV
1,00000304,4,2023-11-5,13:16:34,N0,79.0,2.36,23.7,23.6,2,2,1.0,2,00000020,SV
1,00000308,4,2023-11-5,13:16:35,N0,79.89,3.12,1.1,1.0,2,2,1.0,2,00000020,SV
1,0000030c,4,2023-11-5,13:16:37,N0,80.51,2.52,2.3,2.2,2,2,1.0,2,00000010,SV
1,00000310,12,2023-11-5,13:16:57,N0,71.94,19.79,19.9,19.8,6,5,1.0,10,00000020,ART6
1,0000031c,4,2023-11-5,13:17:01,N0,79.46,2.63,3.9,2.9,2,2,1.0,2,00000010,SV
1,00000320,4,2023-11-5,13:18:09,N0,64.51,3.13,67.8,67.7,2,2,1.0,2,00000010,SV
1,00000324,4,2023-11-5,13:18:27,N0,77.25,2.97,18.3,18.1,2,2,1.0,2,00000020,SV
1,00000328,4,2023-11-5,13:18:29,N0,77.68,2.96,2.1,2.0,2,2,1.0,2,00000020,SV
1,0000032c,4,2023-11-5,13:18:31,N0,81.9,3.15,2.0,1.8,2,2,1.0,2,00000010,SV
1,00000330,6,2023-11-5,13:18:48,N0,79.07,6.36,16.8,16.6,3,2,1.0,5,00000020,TB3
1,00000336,4,2023-11-5,13:18:52,N0,91.35,2.84,4.0,3.7,2,2,1.0,2,00000010,SV
1,0000033a,15,2023-11-5,13:19:04,N0,81.32,22.19,12.3,12.2,8,4,0.93,11,00000010,BD
1,00000349,4,2023-11-5,13:19:19,N0,94.19,3.09,14.6,13.6,2,2,1.0,2,00000010,SV
1,0000034d,4,2023-11-5,13:19:27,N0,82.88,2.95,7.6,7.5,2,2,1.0,2,00000020,SV
1,00000351,4,2023-11-5,13:19:29,N0,82.99,5.77,2.0,1.9,2,2,1.0,4,00000010,TB2
1,00000355,4,2023-11-5,13:19:49,N0,90.98,3.11,20.1,19.9,2,2,1.0,2,00000010,SV
1,00000359,4,2023-11-5,13:19:58,N0,83.22,2.49,9.4,9.3,2,2,1.0,2,00000010,SV
1,0000035d,4,2023-11-5,13:20:14,N0,78.68,2.96,15.9,15.8,2,2,1.0,2,00000010,SV
1,00000361,4,2023-11-5,13:20:25,N0,83.59,2.5,10.4,10.2,2,2,1.0,2,00000020,SV
1,00000365,4,2023-11-5,13:20:25,N0,83.62,2.68,0.9,0.7,2,2,1.0,2,00000020,SV
1,00000369,4,2023-11-5,13:20:27,N0,91.85,2.97,1.7,1.6,2,2,1.0,2,00000020,SV
1,0000036d,4,2023-11-5,13:20:29,N0,84.71,2.51,2.3,2.2,2,2,1.0,2,00000010,SV
1,00000371,4,2023-11-5,13:20:52,N0,77.45,2.63,22.5,22.4,2,2,1.0,2,00000010,SV
1,00000375,4,2023-11-5,13:21:44,N0,81.37,3.09,52.2,52.1,2,2,1.0,2,00000010,SV
1,00000379,4,2023-11-5,13:22:21,N0,81.35,3.06,37.1,37.0,2,2,1.0,2,00000010,SV
1,0000037d,12,2023-11-5,13:22:34,N0,85.4,11.22,12.1,12.0,6,3,1.0,10,00000010,ART6
1,00000389,4,2023-11-5,13:23:50,N0,75.67,3.14,76.5,76.1,2,2,1.0,2,00000020,SV
1,0000038d,4,2023-11-5,13:23:52,N0,86.68,2.82,2.1,2.0,2,2,1.0,2,00000010,SV
1,00000391,4,2023-11-5,13:23:56,N0,86.13,2.8,4.3,4.1,2,2,1.0,2,00000010,SV
1,00000395,10,2023-11-5,13:24:03,N0,89.27,13.26,6.8,6.7,5,3,1.0,9,00000010,ART5
1,0000039f,4,2023-11-5,13:24:34,N0,70.35,2.68,30.8,30.2,2,2,1.0,2,00000020,SV
1,000003a3,4,2023-11-5,13:24:35,N0,68.36,2.99,1.0,0.9,2,2,1.0,2,00000020,SV
1,000003a7,4,2023-11-5,13:24:36,N0,67.54,2.49,1.4,1.3,2,2,1.0,2,00000020,SV
1,000003ab,4,2023-11-5,13:24:39,N0,66.17,2.83,2.1,2.0,2,2,1.0,2,00000020,SV
1,000003af,4,2023-11-5,13:24:40,N0,60.53,3.09,1.8,1.6,2,2,1.0,2,00000010,SV
1,000003b3,6,2023-11-5,13:25:09,N0,86.37,6.09,28.8,28.6,3,3,1.0,3,00000010,SVT
1,000003b9,4,2023-11-5,13:26:04,N0,78.1,2.92,55.1,54.8,2,2,1.0,2,00000020,SV
1,000003bd,4,2023-11-5,13:26:06,N0,80.85,3.86,1.3,1.2,2,2,1.0,4,00000020,TB2
1,000003c1,4,2023-11-5,13:26:07,N0,77.15,2.93,1.1,0.9,2,2,1.0,2,00000010,SV
1,000003c5,4,2023-11-5,13:26:22,N0,83.25,2.67,15.8,15.7,2,2,1.0,2,00000010,SV
1,000003c9,4,2023-11-5,13:26:36,N0,76.83,2.98,14.0,13.9,2,2,1.0,2,00000010,SV
1,000003cd,8,2023-11-5,13:26:44,N0,82.97,6.82,7.5,7.4,4,2,1.0,6,00000010,T4
1,000003d5,4,2023-11-5,13:27:02,N0,85.81,2.6,17.8,17.5,2,2,1.0,2,00000010,SV
1,000003d9,4,2023-11-5,13:27:25,N0,81.6,3.02,23.2,23.1,2,2,1.0,2,00000020,SV
1,000003dd,4,2023-11-5,13:27:27,N0,80.96,2.71,1.8,1.6,2,2,1.0,2,00000010,SV
1,000003e1,4,2023-11-5,13:28:13,N0,99.43,2.51,46.4,46.3,2,2,1.0,2,00000010,SV
1,000003e5,4,2023-11-5,13:28:34,N0,113.69,1.75,21.1,21.0,2,1,1.0,2,00000010,SV
1,000003e9,11,2023-11-5,13:29:43,N0,94.88,11.44,68.4,68.4,5,3,0.91,9,00000010,ART5
1,000003f4,12,2023-11-5,13:29:50,N0,77.6,14.13,6.9,6.4,6,3,1.0,10,00000010,ART6
1,00000400,4,2023-11-5,13:30:42,N0,75.39,5.21,52.5,51.8,2,2,1.0,4,00000020,TB2
1,00000404,4,2023-11-5,13:30:45,N0,80.07,2.75,2.5,2.2,2,2,1.0,2,00000020,SV
1,00000408,4,2023-11-5,13:30:46,N0,76.7,2.57,1.4,1.3,2,2,1.0,2,00000020,SV
1,0000040c,10,2023-11-5,13:30:47,N0,80.04,13.11,1.5,1.4,5,3,1.0,9,00000020,ART5
1,00000416,4,2023-11-5,13:30:51,N0,77.63,2.84,3.8,3.2,2,2,1.0,2,00000010,SV
1,0000041a,4,2023-11-5,13:30:58,N0,83.4,2.59,6.7,6.6,2,2,1.0,2,00000010,SV
1,0000041e,4,2023-11-5,13:31:08,N0,82.22,2.93,10.4,10.3,2,2,1.0,2,00000020,SV
1,00000422,4,2023-11-5,13:31:10,N0,77.81,2.97,1.7,1.5,2,2,1.0,2,00020042,SV
1,00000426,4,2023-11-5,13:31:11,N0,79.22,2.57,0.7,0.5,2,2,1.0,2,00000020,SV
1,0000042a,4,2023-11-5,13:31:12,N0,76.8,2.34,1.0,0.9,2,2,1.0,2,00000020,SV
1,0000042e,4,2023-11-5,13:31:14,N0,85.09,2.76,2.0,1.9,2,2,1.0,2,00000020,SV
1,00000432,4,2023-11-5,13:31:15,N0,84.12,3.15,1.0,0.9,2,2,1.0,2,00000020,SV
1,00000436,4,2023-11-5,13:31:16,N0,81.93,2.91,1.6,1.4,2,2,1.0,2,00000020,SV
1,0000043a,4,2023-11-5,13:31:20,N0,79.52,2.79,3.9,3.8,2,2,1.0,2,00000010,SV
1,0000043e,6,2023-11-5,13:32:15,N0,84.93,8.04,55.0,54.8,3,3,1.0,3,00000010,SVT
1,00000444,4,2023-11-5,13:32:38,N0,79.79,4.78,23.3,22.9,2,2,1.0,4,00000020,TB2
1,00000448,12,2023-11-5,13:32:41,N0,78.41,14.32,2.5,2.3,6,3,1.0,10,00000020,ART6
1,00000454,4,2023-11-5,13:32:45,N0,77.34,3.12,4.1,3.5,2,2,1.0,2,00000020,SV
1,00000458,4,2023-11-5,13:32:48,N0,73.51,2.62,2.8,2.6,2,2,1.0,2,00000010,SV
1,0000045c,4,2023-11-5,13:32:53,N0,85.34,3.15,4.8,4.7,2,2,1.0,2,00000010,SV
1,00000460,4,2023-11-5,13:33:10,N0,74.84,2.83,17.2,17.1,2,2,1.0,2,00000010,SV
1,00000464,4,2023-11-5,13:33:41,N0,89.81,2.85,30.8,30.6,2,2,1.0,2,00000010,SV
1,00000468,4,2023-11-5,13:34:05,N0,68.17,2.91,24.2,24.1,2,2,1.0,2,00000010,SV
1,0000046c,6,2023-11-5,13:34:24,N0,89.2,8.14,19.1,19.0,3,3,1.0,3,00000010,SVT
1,00000472,4,2023-11-5,13:34:42,N0,88.63,3.36,17.7,17.3,2,2,1.0,4,00000010,TB2
1,00000476,4,2023-11-5,13:34:56,N0,79.9,2.56,13.9,13.8,2,2,1.0,2,00000010,SV
1,0000047a,4,2023-11-5,13:35:25,N0,82.88,2.91,29.8,29.6,2,2,1.0,2,00000010,SV
1,0000047e,4,2023-11-5,13:35:46,N0,69.84,2.48,21.1,21.0,2,2,1.0,2,00000010,SV
1,00000482,4,2023-11-5,13:35:58,N0,77.69,2.94,11.8,11.7,2,2,1.0,2,00000020,SV
1,00000486,4,2023-11-5,13:35:59,N0,76.36,2.78,0.9,0.7,2,2,1.0,2,00000010,SV
1,0000048a,4,2023-11-5,13:37:01,N0,92.45,2.73,62.0,61.8,2,2,1.0,2,00000010,SV
1,0000048e,4,2023-11-5,13:37:08,N0,85.55,2.75,7.3,7.2,2,2,1.0,2,00000010,SV
1,00000492,12,2023-11-5,13:38:07,N0,83.48,11.85,58.4,58.3,6,3,1.0,10,00000010,ART6
1,0000049e,4,2023-11-5,13:38:12,N0,83.89,3.09,5.1,4.6,2,2,1.0,2,00000020,SV
1,000004a2,4,2023-11-5,13:38:16,N0,81.15,2.95,3.7,3.5,2,2,1.0,2,00000020,SV
1,000004a6,6,2023-11-5,13:38:19,N0,74.28,5.92,3.6,3.5,3,2,1.0,5,00000010,TB3
1,000004ac,4,2023-11-5,13:38:35,N0,87.94,1.58,15.8,15.5,2,1,1.0,1,00000020,MC
1,000004b0,4,2023-11-5,13:38:36,N0,84.23,2.41,1.3,1.2,2,2,1.0,2,00000010,SV
1,000004b4,4,2023-11-5,13:38:46,N0,34.45,2.72,9.4,9.3,2,2,1.0,2,00000010,SV
1,000004b8,4,2023-11-5,13:39:01,N0,83.62,2.76,15.1,14.8,2,2,1.0,2,00000010,SV
1,000004bc,4,2023-11-5,13:39:44,N0,99.21,2.92,43.4,43.3,2,2,1.0,2,00000010,SV
1,000004c0,4,2023-11-5,13:40:13,N0,81.85,2.51,28.5,28.4,2,2,1.0,2,00000020,SV
1,000004c4,4,2023-11-5,13:40:15,N0,84.19,2.88,2.4,2.3,2,2,1.0,2,00000010,SV
1,000004c8,4,2023-11-5,13:40:20,N0,88.47,2.95,4.9,4.8,2,2,1.0,2,00000020,SV
1,000004cc,8,2023-11-5,13:40:21,N0,27.49,5.75,1.3,1.2,4,2,0.75,6,00000020,T4
1,000004d4,4,2023-11-5,13:40:25,N0,83.78,2.6,4.2,3.5,2,2,1.0,2,00000010,SV
1,000004d8,4,2023-11-5,13:41:54,N0,84.05,2.65,88.8,88.7,2,2,1.0,2,00000010,SV
1,000004dc,4,2023-11-5,13:42:20,N0,89.27,2.71,26.2,26.1,2,2,1.0,2,00000010,SV
1,000004e0,4,2023-11-5,13:42:28,N0,87.98,2.94,7.7,7.6,2,2,1.0,2,00000020,SV
1,000004e4,4,2023-11-5,13:42:30,N0,87.92,2.7,1.5,1.4,2,2,1.0,2,00000020,SV
1,000004e8,4,2023-11-5,13:42:31,N0,87.78,2.62,1.8,1.7,2,2,1.0,2,00000020,SV
1,000004ec,4,2023-11-5,13:42:33,N0,84.48,2.45,2.0,1.9,2,2,1.0,2,00000020,SV
1,000004f0,4,2023-11-5,13:42:36,N0,83.07,2.46,2.7,2.5,2,2,1.0,2,00000010,SV
